"inspection_id","dba_name","aka_name","license_","facility_type","risk","address","city","state","zip","inspection_date","inspection_type","results","violations","latitude","longitude","location"
"2568892","SONESTA  ES SUITES CHICAGO DOWNTOWN","SONESTA  HOTEL","2882707","Restaurant","Risk 3 (Low)","201 E WALTON ST ","CHICAGO","IL","60611","2022-12-22T00:00:00.000","License","Pass",,"41.899936475960715","-87.62180244533546","(41.899936475960715, -87.62180244533546)"
"2568928","ST BERNARD HOSPITAL & HEALTH CENTER","ST BERNARD HOSPITAL & HEALTH CENTER","2204276","Hospital","Risk 1 (High)","326 W 64TH ST ","CHICAGO","IL","60621","2022-12-22T00:00:00.000","Canvass","Fail","16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: SEE REPORT | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: SEE REPORT | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: SEE REPORT.","41.77821515610851","-87.63346442603714","(41.77821515610851, -87.63346442603714)"
"2568891","ZAZA'S DELI, INC.","ZAZA'S DELI","2807744","Grocery Store","Risk 1 (High)","3055 N MILWAUKEE AVE ","CHICAGO","IL","60618","2022-12-22T00:00:00.000","Canvass","Pass","36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE AND MAINTAIN AN ACCURATE,VISIBLE THERMOMETER INSIDE THE MILK 2 DOOR STAND-UP COOLER LOCATED AT REAR CUSTOMER AREA. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED WATER LEAK AT DRAIN PIPE UNDERNEATH THE NORTH-END PREP SINK LOCATED AT DELI PREP AREA.INSTRUCTED TO REPAIR PLUMBING LEAK AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPLACE DAMAGED,WATER STAINED CEILING TILES LOCATED AT REAR STORAGE AREA AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE BASEMENT HOT WATER HEATER STORAGE AREA  AND REMOVE UNNECESSARY ARTICLES DUE TO POTENTIAL PEST HARBORAGE AND ELEVATE MOPS,BROOMS CLEANING EQUIPMENTS OFF THE FLOOR AT LEAST 6' INCHES TO FACILITATE CLEANING. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REPLACE BURNT-OUT LIGHT BULBS IN WALK-IN-COOLER LOCATED NEXT TO THE DELI PREP AREA AND IN BASEMENT SOUTH-END PREP AREA AND MAINTAIN ADEQUATE LIGHTING AT ALL TIMES.","41.936780375027034","-87.71981734084218","(41.936780375027034, -87.71981734084218)"
"2568901","HAROLD'S CHICKEN","HAROLD'S CHICKEN","2882761","Restaurant","Risk 2 (Medium)","1711 E 87TH ST ","CHICAGO","IL","60617","2022-12-22T00:00:00.000","License","Pass","49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DETAIL CLEAN THE INTERIOR AND EXTERIOR OF ALL COOLERS, FRYERS, STORAGE SHELVING AND PREP STATION. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST DETAIL CLEAN THE FIXTURES IN BOTH WASHROOMS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST DETAIL CLEAN AND MAINTAIN Walls and Ceilings, Studs, Joists and Rafters THROUGH OUT, PREMISES IS VERY DUSTY.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST DETAIL CLEAN FLOOR THROUGH OUT ESPECIALLY ALONG THE WALL AND IN CORNERS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN A FEW CORNER IN THE REAR. MUST ORGANIZE, ELEVATE 6' OFF THE FLOOR AND AWAY FROM THE WALL FOR PROPER CLEANING AND MONITORING. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED THE HOOD ABOVE THE COOKING EQUIPMENT DIRTY. MUST DETAIL CLEAN AND MAINTAIN.","41.73685247706767","-87.5822614426884","(41.73685247706767, -87.5822614426884)"
"2568933","TIMEZSQUARE","TIMEZSQUARE","2840097","Grocery Store","Risk 3 (Low)","10857 S HALSTED ST ","CHICAGO","IL","60628","2022-12-22T00:00:00.000","License Re-Inspection","No Entry",,"41.69620076046872","-87.64235277732084","(41.69620076046872, -87.64235277732084)"
"2568894","ICON STATION,INC.",,"2876684","GAS STATION/GROCERY","Risk 3 (Low)","8649 S ASHLAND AVE ","CHICAGO","IL","60620","2022-12-22T00:00:00.000","License","Not Ready",,"41.73616578391606","-87.66292732263834","(41.73616578391606, -87.66292732263834)"
"2568934","PULASKI & LAKE FOOD MART INC.","PULASKI & LAKE FOOD MART","2886444","Grocery Store","Risk 3 (Low)","304 N PULASKI RD ","CHICAGO","IL","60624","2022-12-22T00:00:00.000","License","Pass w/ Conditions","5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT/DIARRHEA CLEANUP KIT OR WRITTEN PROCEDURES ON SITE AT TIME OF INSPECTION. INSTRUCTED MANAGEMENT TO PROVIDE. PRIORITY FOUNDATION 7-38-005. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD BEING USED TO LINE THE SHELVES INSIDE COOLERS. MUST REMOVE CARDBOARD AND PROVIDE SHELVING THAT IS NON-ABSORBENT AND EASILY CLEANABLE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND HEAVY ICE BUILD UP AND OLD FOOD SPILLS INSIDE THE GLASS TOP CHEST FREEZER. MUST REMOVE ICE, CLEAN, AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED A LEAK COMING FROM UNDERNEATH THE HANDWASH SINK IN THE REAR STORAGE ROOM. MUST REPAIR LEAK AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO COVERED WASTE RECEPTACLE INSIDE THE WASHROOM. MUST PROVIDE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: FOUND HEAVY DUST BUILD UP ON THE WASHROOM VENTILATION FAN COVER. MUST CLEAN AND MAINTAIN.","41.885533551021155","-87.7259529067683","(41.885533551021155, -87.7259529067683)"
"2568903","CARNICERIA LA GLORIA","CARNICERIA LA GLORIA","2749089","Grocery Store","Risk 1 (High)","2551-2553 W 51ST ST ","CHICAGO","IL","60632","2022-12-22T00:00:00.000","Canvass Re-Inspection","Fail","50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: OBSERVED NO HOT WATER ON PREMISES AT TIME OF INSPECTION WITH RANGE FROM 72F-82.3F. INSTRUCTED PERSON IN CHARGE TO PROVIDE HOT WATER AT ADEQUATE TEMPERATURE OF 100F AT ALL HANDSINKS AND 110F AT ALL WAREWASHING SINKS WITH ADEQUATE COVERAGE FOR ENTIRE OPERATION. PRIORITY VIOLATION 7-38-030(C). ","41.80096927632034","-87.68872209871739","(41.80096927632034, -87.68872209871739)"
"2568923","7-ELEVEN","7-ELEVEN","1474087","Grocery Store","Risk 2 (Medium)","4346 N KIMBALL AVE ","CHICAGO","IL","60618","2022-12-22T00:00:00.000","Canvass","Pass","55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND FLOORS NOT CLEAN INSIDE OF WALK IN COOLER. MUST CLEAN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOUND EMPLOYEE AT PREMISES WITH NO FOOD HANDLER CERTIFICATE.MUST PROVIDE.","41.960731356474305","-87.71327613356749","(41.960731356474305, -87.71327613356749)"
"2568897","EL ALEBRIJE","EL ALEBRIJE","2718703","Restaurant","Risk 1 (High)","4114 N KEDZIE AVE ","CHICAGO","IL","60618","2022-12-22T00:00:00.000","Canvass","Pass","51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW PREVENTION DEVICES AT COFFEE MACHINE WATERLINE LOCATED AT BAR.MUST PROVIDE WHERE THEY CAN BE LOCATED AND SERVICED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO LIDS FOR TRASH CANS AT WOMEN RESTROOMS.MUST PROVIDE.","41.956193396983295","-87.70823032541526","(41.956193396983295, -87.70823032541526)"
"2568900","CIRCLE K","CIRCLE K","2882537","Grocery Store","Risk 3 (Low)","733 S DEARBORN ST BLDG ","CHICAGO","IL","60605","2022-12-22T00:00:00.000","License","Pass",,"41.87269425634134","-87.62899753972206","(41.87269425634134, -87.62899753972206)"
"2568899","THE CRAB PAD 2, LLC","THE CRAB PAD","2813082","Restaurant","Risk 1 (High)","4337 N WESTERN AVE ","CHICAGO","IL","60618","2022-12-22T00:00:00.000","Canvass","Out of Business",,"41.96062542441431","-87.68851446775346","(41.96062542441431, -87.68851446775346)"
"2568912","DUNKIN DONUTS","DUNKIN DONUTS","35692","Restaurant","Risk 2 (Medium)","5723 N CALIFORNIA AVE ","CHICAGO","IL","60659","2022-12-22T00:00:00.000","Canvass","Pass","47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARD ON PREP TABLE WITH DEEP SCRATCHES AND STAINS. INSTRUCTED THE PERSON IN CHARGE TO RESURFACE/REPLACE CUTTING BOARD AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT ON FLOOR UNDERNEATH THREE COMPARTMENT SINK AND DIRT ON FLOOR SURROUNDING UTILITY SINK. INSTRUCTED THE PERSON IN CHARGE TO DETAIL CLEAN AND MAINTAIN.","41.98571758747685","-87.69909642963309","(41.98571758747685, -87.69909642963309)"
"2568916","LOS POTRILLOS","LOS POTRILLOS","1650212","Grocery Store","Risk 1 (High)","3624 W BELMONT AVE ","CHICAGO","IL","60618","2022-12-22T00:00:00.000","Canvass Re-Inspection","Pass",,"41.93930951600574","-87.718539940519","(41.93930951600574, -87.718539940519)"
"2568882","UBITAS ICE CREAM","DRIP'N GOOD ICE CREAM","2093306","Mobile Food Dispenser","Risk 2 (Medium)","4014 W 24TH ST ","CHICAGO","IL","60623","2022-12-22T00:00:00.000","Canvass","Out of Business",,"41.84800682149812","-87.72533481306564","(41.84800682149812, -87.72533481306564)"
"2568881","LEADBELLY","BRGRBELLY","2203563","Restaurant","Risk 1 (High)","5739 W IRVING PARK RD ","CHICAGO","IL","60634","2022-12-22T00:00:00.000","Canvass Re-Inspection","Pass","56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  FOUND GAS PIZZA OVEN IMPROPERLY EXHAUSTED. FOUND CEILING STAINED WITH EXHAUST SMOKE/FUMES. MUST REMOVE OVEN OR NOTIFY BUILDING DEPARTMENT FOR EXHAUST APPROVAL LETTER.","41.95302031944678","-87.77104624990605","(41.95302031944678, -87.77104624990605)"
"2568861","KIKKA @ WHOLE FOODS STREETERVILLE","KIKKA SUSHI","2373596","Restaurant","Risk 1 (High)","255 E GRAND AVE ","CHICAGO","IL","60611","2022-12-21T00:00:00.000","Canvass","Out of Business",,"41.891689839806666","-87.62044413482636","(41.891689839806666, -87.62044413482636)"
"2568864","LA FINA BAKERY LLC","LA FINA BAKERY","2886429","Bakery","Risk 2 (Medium)","5538 W FULLERTON AVE ","CHICAGO","IL","60639","2022-12-21T00:00:00.000","License","Pass w/ Conditions","3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE. INSTRUCTED TO PROVIDE AN EMPLOYEE HEALTH POLICY THAT INCLUDES A SIGNED ACKNOWLEDGEMENT FROM EACH EMPLOYEE. PRIORITY FOUNDATION 7-38-010. FACILITY PRINTED POLICY AND IT IS NOW PROVIDED ON SITE. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT/DIARRHEA CLEANUP KIT OR WRITTEN PROCEDURES ON SITE AT TIME OF INSPECTION. INSTRUCTED MANAGEMENT TO PROVIDE. PRIORITY FOUNDATION 7-38-005. MANAGEMENT PURCHASED KIT AND IT IS NOW ON SITE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO LID ON THE WASTE CAN IN THE WASHROOM. INSTRUCTED TO PROVIDE A COVERED WASTE RECEPTACLE INSIDE THE UNISEX WASHROOM AND MAINTAIN.","41.924102668978826","-87.76514175228861","(41.924102668978826, -87.76514175228861)"
"2568830","CLINTON STREET SMOKED MEATS","CLINTON STREET SMOKED MEATS","2882323","Restaurant","Risk 2 (Medium)","131 N CLINTON ST ","CHICAGO","IL","60661","2022-12-21T00:00:00.000","License","Pass",,"41.884187507127805","-87.64111966683218","(41.884187507127805, -87.64111966683218)"
